"so","HostName","ClusterName","Market","Type","DC","NormalCore","DRCore","NormalMemory","DRMemory","ReservedRatio","Notes"
"3","win10-pro-1909-krx-1","cluster1","TR System","TEST","Datacenter","2","2","4","4","0",""
"3","vts1-yrson","cluster1","TR System","DR","Datacenter","1","2","1","4","0",""
